system:index,B11_au,B11_sp,B12_au,B12_sp,B2_au,B2_sp,B3_au,B3_sp,B4_au,B4_sp,B8_au,B8_sp,BSI_au,BSI_sp,NDVI_au,NDVI_sp,OC,VH,VV,VV_div_VH,VV_minus_VH,aspect,elev,hillshade,slope,.geo
00000000000000000894_0,2275.5,2624.0,1639.5,1942.0,1130.5,1254.5,1316.5,1419.5,1225.0,1338.5,3104.0,2439.0,-0.09489334195216548,0.03513584117032393,0.43404943,0.29133025,16.2,-12.908030184081174,-7.588517462444551,0.5878912083582737,5.319512721636623,158,44,176,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.02010936657303,51.02695816807697]}"
00000000000000000895_0,1815.0,2457.0,1390.0,1826.0,1072.0,1245.0,1202.0,1355.0,1117.0,1386.0,3081.0,2318.0,-0.17233592095977418,0.03780718336483932,0.46784183,0.25161988,56.2,-14.41795739806974,-8.859804838888486,0.6144979204942461,5.558152559181254,28,194,162,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.4279445055632936,50.874873390475535]}"
0000000000000000089f_0,2527.0,2612.0,1785.5,2031.0,1115.5,1248.5,1400.0,1377.0,1361.0,1347.0,3686.0,2806.0,-0.10512687726566546,-0.011917389405378424,0.4606697,0.3513123,47.5,-13.733289470778743,-8.04359311177143,0.5857003982102272,5.689696359007312,122,122,171,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.217918392136149,52.00315738732966]}"
000000000000000008aa_0,2547.0,2910.0,1731.0,2308.0,1198.0,1352.0,1338.0,1469.0,1235.0,1430.0,3665.0,2484.0,-0.12504337767495663,0.06164383561643835,0.49591836,0.26928973,26,-14.904112833645978,-8.277550992020554,0.5553870320502414,6.626561841625424,201,104,194,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.9082736879820015,52.197193488699476]}"
000000000000000008b3_0,2688.0,2942.0,1796.0,2203.0,1254.5,1330.0,1398.0,1532.0,1302.0,1592.0,4008.0,2814.0,-0.13753039718994867,0.04494123069831758,0.5096045,0.27734905,35.3,-15.73128592350843,-9.4209717218228,0.5988685074844607,6.31031420168563,332,222,185,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.764457985276318,51.921590359531606]}"
000000000000000008b4_0,2528.0,2892.0,1747.0,2221.0,1200.5,1304.0,1434.5,1466.0,1348.0,1545.0,3822.0,2841.0,-0.12884193965275045,0.034024702866464696,0.47853,0.29548565,59.9,-14.111932832358727,-8.371541415016825,0.5932242956698917,5.740391417341902,270,386,185,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.918429224974403,51.56361171880997]}"
000000000000000008c1_0,1613.5,2364.0,1265.5,1807.0,1079.5,1232.5,1129.0,1310.5,1095.0,1341.0,1714.0,2426.0,-0.015448927662668121,0.006314931757995518,0.22036313,0.2880276,59,-16.484456174388647,-10.233678081028101,0.6208077459617883,6.250778093360546,90,200,148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.314666948235821,51.357897518746604]}"
000000000000000008c2_0,2219.0,2485.5,1561.0,1931.0,1171.0,1254.0,1314.0,1336.0,1174.0,1380.0,3458.0,2600.0,-0.15407629020194466,0.001489733791048643,0.49309152,0.30653265,46.2,-13.60932908584081,-7.93899419980082,0.5833494178681133,5.67033488603999,53,196,157,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.373147273232003,51.341278685990396]}"
000000000000000008c3_0,2091.0,2810.0,1512.0,2171.0,1120.5,1328.0,1317.5,1469.0,1181.0,1579.0,3047.0,2732.0,-0.12037099267423886,0.03893951946975974,0.44134343,0.26745534,100.8,-12.94288403654634,-8.063756812263986,0.6230262737033458,4.879127224282355,227,493,190,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.934414662749879,50.992912018808845]}"
000000000000000008d4_0,2113.0,2610.5,1498.0,2000.0,1128.0,1297.0,1339.0,1435.0,1183.0,1460.5,4089.0,2738.0,-0.22565488077058615,0.0044411547002220575,0.551214,0.30427533,40.9,-13.348117275254953,-7.451887641546705,0.5582725629299935,5.8962296337082485,50,232,153,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.716393543294072,50.790970742938775]}"
000000000000000008fa_0,2208.0,2886.5,1656.5,2096.0,1274.0,1255.5,1366.5,1466.0,1382.0,1598.0,2444.5,3153.0,-0.017582267223096394,0.008546047453052963,0.2776689,0.3272995,69.8,-14.430381095935301,-8.420049278725724,0.5834945884483573,6.010331817209577,302,386,185,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.573858353395412,50.956170923688354]}"
00000000000000000902_0,2703.0,3112.0,1888.0,2311.0,1213.0,1326.0,1355.0,1491.0,1380.0,1604.0,3276.0,3004.0,-0.047363509099393374,0.04267079372098165,0.4072165,0.30381945,65.2,-16.21141919187981,-10.886362986091187,0.6715243654635797,5.325056205788622,313,175,190,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.50719878503189,51.253962440373975]}"
0000000000000000090f_0,2467.0,3270.5,1735.5,2508.5,1162.5,1359.5,1315.5,1519.0,1321.5,1583.0,2981.0,2722.0,-0.04475542107917297,0.0864017907106883,0.38570598,0.26457608,30.3,-14.287466891557015,-8.315103260780736,0.5819858288311719,5.972363630776279,0,164,180,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.187932958773962,52.31756773677149]}"
0000000000000000093e_0,2510.5,2720.0,1774.0,1997.5,1225.0,1293.0,1377.0,1479.5,1302.5,1383.0,3360.0,2894.0,-0.091926649202191,-0.010132689987937274,0.44128686,0.353285,45.1,-15.305422103507675,-9.479416202069729,0.6193501974635021,5.826005901437947,270,85,190,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.298789639116162,51.67194854207479]}"
00000000000000000942_0,2599.0,3320.0,1769.5,2569.0,1193.5,1362.0,1321.0,1488.0,1387.5,1655.0,3296.0,2922.0,-0.05934403020292591,0.07463008964250999,0.4074944,0.27681887,32.3,-15.342648951649025,-9.895115119350605,0.6449417666098056,5.44753383229842,158,183,176,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.616703418166061,51.665211177443894]}"
00000000000000000950_0,1246.0,2985.5,1111.0,2306.5,1081.0,1385.0,1122.0,1527.5,1072.0,1632.5,1728.0,3017.0,-0.09576750536376048,0.02394678492239468,0.23428571,0.29777396,31,-13.459420987839703,-8.262542879042165,0.6138854625698382,5.196878108797538,150,26,175,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.307489574526569,54.388453961252225]}"
0000000000000000097f_0,2715.0,3396.0,1771.0,2559.5,1215.0,1340.5,1394.0,1502.0,1219.0,1708.0,4344.0,3016.0,-0.17117876329927315,0.07901273717033984,0.56174725,0.276884,57.3,-12.875622892619198,-7.151380022757966,0.5554201208282833,5.724242869861232,136,400,153,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.237160636343711,50.91475858909045]}"
00000000000000000696_0,1302.0,1388.5,1130.0,1184.0,1021.5,1112.0,1108.0,1151.0,1063.0,1119.5,1976.0,2449.0,-0.11794871794871795,-0.17350469599604548,0.30042776,0.3725655,120.5,-16.108358216894352,-9.314602858485728,0.5782465682142968,6.7937553584086245,0,1035,180,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.088924891618436,47.88294450518706]}"
