system:index,B11,B12,B2,B3,B4,B8,NDVI,OC,VH,VV,VV_div_VH,VV_minus_VH,aspect,elev,slope,.geo
000000000000000006d2_0,3090.0,2258.0,1449.5,1779.0,1659.0,4308.0,0.44394168,22.7,-19.735626537147372,-11.633741657523915,0.5894792159562967,8.101884879623457,0,538,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.393561901590772,47.909534637597]}"
000000000000000008af_0,2760.0,2456.0,1546.0,1726.0,1970.0,3500.0,0.2797075,14.3,-18.631707205855562,-11.245065550359495,0.6035445612211747,7.386641655496067,0,101,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.247567370793945,51.753246075287606]}"
000000000000000006a9_0,3322.0,2673.0,1614.0,2062.0,2282.0,4348.0,0.3116139,14.4,-19.028443417889513,-11.593255506863214,0.6092592679422144,7.435187911026299,154,633,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.397860092108992,47.95193511900744]}"
000000000000000006af_0,3014.0,2295.0,1432.0,1763.0,1778.0,4537.0,0.43689626,13.7,-18.792259914789582,-10.384763447615018,0.5526085470668788,8.407496467174564,159,615,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.664569899964079,48.09701303739274]}"
000000000000000006b1_0,3193.0,2455.0,1622.0,1982.0,2116.0,4143.0,0.32385364,13.2,-18.93676329354731,-11.133147358670346,0.5879118403758028,7.803615934876962,270,582,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.718738311596486,48.00718150898079]}"
000000000000000006bd_0,3411.0,2492.5,1447.5,1791.0,1646.5,4528.0,0.46667746,18.8,-18.417580673832447,-11.137966709558905,0.6047464597445005,7.279613964273542,56,644,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.013385724787687,47.845574589367686]}"
000000000000000006e0_0,3084.0,2239.5,1511.0,1732.5,1571.0,4699.5,0.49892354,17,-18.150604580088316,-11.111009240340659,0.6121564265980277,7.039595339747658,0,413,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.713451974265734,48.38824685250429]}"
000000000000000006e4_0,2375.0,1824.0,1614.0,2156.0,1836.0,4964.0,0.46,14.3,-17.494080297358398,-10.077549804428592,0.5760548501626748,7.416530492929805,333,344,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.999206066144154,48.650914241580836]}"
000000000000000006f0_0,3540.5,2652.0,1798.0,2377.0,2550.0,4594.0,0.28611422,18.1,-19.218109310066442,-10.512862011716166,0.5470289424469831,8.705247298350276,0,565,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.685060637005705,49.128458646618775]}"
000000000000000006fb_0,3892.0,2864.0,1706.0,2072.0,2500.0,4336.0,0.2685781,13,-18.57272448371995,-13.169703820782782,0.709088417928494,5.403020662937166,207,425,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.408473935307157,49.34917471192694]}"
000000000000000006fc_0,2441.0,1719.0,1291.0,1480.0,1347.0,3809.0,0.47750193,16.7,-24.76850745737392,-18.166116705582304,0.7334360674273898,6.602390751791617,256,529,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.503875018480649,49.59899619244058]}"
0000000000000000070e_0,3552.0,2663.0,1457.0,1695.0,1747.0,3364.0,0.31637645,25.1,-19.443658383650142,-10.246858326283224,0.5270025899498235,9.196800057366918,143,450,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.80776593053458,49.102227840322485]}"
00000000000000000721_0,3277.5,2348.0,1484.0,1696.5,1666.5,5039.5,0.5029824,13.1,-18.671430415423444,-10.621313956574946,0.5688537900021448,8.050116458848498,72,495,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.202211597509612,48.33129366349111]}"
0000000000000000072c_0,2679.0,1937.0,1360.0,1601.0,1512.0,4370.0,0.48588917,11.1,-19.444541741577126,-9.408779779317815,0.4838776816837792,10.035761962259311,288,502,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.55228506373099,48.29410341072857]}"
00000000000000000743_0,4874.0,4527.0,2106.0,2472.0,2914.0,4056.0,0.16384505,6.4,-23.362942225530304,-14.327930780264172,0.6132759582227212,9.035011445266132,151,40,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.066664969699678,52.91683386280762]}"
